No,Nama Barang,Harga Pasaran (Rp),Harga Jual (Rp),Selisih (Rp),Persentase Markup (%),Kategori Markup
1013,Caviar Beluga 30g,2891945,3447060,555115,19.2,Normal
1014,Special Cotton Bud biasa 200pcs,73679,428993,355314,482.2,MARKUP GILA-GILAAN ⚠️
1015,Serum Rambut Pantene 70ml,89027,99377,10350,11.6,Normal
1016,Luxury Cotton Bud biasa 200pcs,53089,456999,403910,760.8,MARKUP GILA-GILAAN ⚠️
1017,Gloves Boxing Everlast Pro Style,475298,585129,109831,23.1,Normal
1018,Buku Matematika Kumon Grade 7,65422,68776,3354,5.1,Normal
1019,Buku Matematika Kumon Grade 7,63807,77468,13661,21.4,Normal
1020,Micellar Water Bioderma 500ml,222758,252125,29367,13.2,Normal
1021,Blender Vitamix 5200,6068940,7159995,1091055,18.0,Normal
1022,Artisan Tisu Makan Premium 200 lembar,36192,272132,235940,651.9,MARKUP GILA-GILAAN ⚠️
1023,GoPro Hero 12 Black,5722539,6632227,909688,15.9,Normal
1024,Laptop ASUS ROG Zephyrus G14,24083076,26848441,2765365,11.5,Normal
1025,Dompet Coach Crossgrain Leather,2109916,2527644,417728,19.8,Normal
1026,Xbox Series X,7771519,8171557,400038,5.1,Normal
1027,Portable Charger Anker 26800mAh,611903,657766,45863,7.5,Normal
1028,Organic Masker medis 3 ply 50pcs,73258,637858,564600,770.7,MARKUP GILA-GILAAN ⚠️
1029,Sepatu Adidas Ultraboost 23,2114288,2274222,159934,7.6,Normal
1030,Sepatu Vans Old Skool,811214,1010731,199517,24.6,Normal
1031,Karpet Mobil Universal All New,357088,435336,78248,21.9,Normal
1032,Luxury Lem Kertas UHU 21g,60509,802797,742288,1226.7,MARKUP GILA-GILAAN ⚠️
1033,Saus Truffle Urbani 180g,361317,405778,44461,12.3,Normal
1034,Foundation MAC Studio Fix Fluid,591960,721482,129522,21.9,Normal
1035,Jam Tangan Rolex Submariner,142572995,156427183,13854188,9.7,Normal
1036,Sepeda Statis Peloton Bike+,23853013,26463643,2610630,10.9,Normal
1037,GoPro Hero 12 Black,6115487,7295783,1180296,19.3,Normal
1038,AC Daikin Inverter 1.5 PK,5760989,6525982,764993,13.3,Normal
1039,Parfum Mobil Areon Mon Black Crystal,114908,137172,22264,19.4,Normal
1040,Karpet Mobil Universal All New,359140,401814,42674,11.9,Normal
1041,Salmon Sashimi Grade 500g,275575,337275,61700,22.4,Normal
1042,iPad Pro 12.9 inch M2,18564009,21767689,3203680,17.3,Normal
1043,Foundation MAC Studio Fix Fluid,564201,690775,126574,22.4,Normal
1044,AC Daikin Inverter 1.5 PK,5721605,6476832,755227,13.2,Normal
1045,Mascara Maybelline Volum Express,155110,182640,27530,17.7,Normal
1046,Keju Parmigiano Reggiano 500g,368723,409235,40512,11.0,Normal
1047,Salmon Sashimi Grade 500g,271081,313345,42264,15.6,Normal
1048,Sepatu Running Brooks Ghost 15,1968442,2174008,205566,10.4,Normal
1049,Gold Edition Tisu Makan Premium 200 lembar,8382,89210,80828,964.3,MARKUP GILA-GILAAN ⚠️
1050,Sneakers New Balance 990v6,2777951,3281619,503668,18.1,Normal
1051,Buku Rich Dad Poor Dad Robert Kiyosaki,95583,103139,7556,7.9,Normal
1052,Special Cokelat KitKat 4 finger,19094,202518,183424,960.6,MARKUP GILA-GILAAN ⚠️
1053,Masker Rambut Olaplex No.8 100ml,386685,406934,20249,5.2,Normal
1054,Robot Vacuum Cleaner Roomba j7+,8520515,10089733,1569218,18.4,Normal
1055,Eyeshadow Palette Urban Decay Naked,850009,963246,113237,13.3,Normal
1056,Microwave Sharp 27L,1176076,1399130,223054,19.0,Normal
1057,Granola Organic Uncle Tobys 500g,93353,114917,21564,23.1,Normal
1058,Lipstik Charlotte Tilbury Pillowtalk,454210,495920,41710,9.2,Normal
1059,Mesin Cuci Samsung Front Load 9kg,5412395,6082698,670303,12.4,Normal
1060,Sepatu Adidas Ultraboost 23,2229047,2700659,471612,21.2,Normal
1061,Premium Air Kelapa kemasan 330ml,61371,838657,777286,1266.5,MARKUP GILA-GILAAN ⚠️
1062,Parfum Dior Sauvage 100ml,2772137,3064849,292712,10.6,Normal
1063,Robot Vacuum Cleaner Roomba j7+,8824765,9788751,963986,10.9,Normal
1064,Jam Tangan Casio G-Shock GA700,1164281,1225002,60721,5.2,Normal
1065,Eyeshadow Palette Urban Decay Naked,814719,957086,142367,17.5,Normal
1066,Kondisioner Moroccanoil 250ml,334688,405372,70684,21.1,Normal
1067,Parfum Chanel No. 5 100ml,3661235,4287204,625969,17.1,Normal
1068,Coffee Maker Nespresso Vertuo Next,2155903,2348136,192233,8.9,Normal
1069,Special Air Mineral Premium 500ml,54480,289894,235414,432.1,MARKUP GILA-GILAAN ⚠️
1070,Kemeja Polo Ralph Lauren,1548202,1740356,192154,12.4,Normal
1071,AC Daikin Inverter 1.5 PK,5757567,6349386,591819,10.3,Normal
1072,Gold Edition Beras Putih Premium 1kg,24791,181252,156461,631.1,MARKUP GILA-GILAAN ⚠️
1073,Laptop Lenovo ThinkPad X1 Carbon,28365067,35076904,6711837,23.7,Normal
1074,Blush On NARS Orgasm,479103,555891,76788,16.0,Normal
1075,Protein Whey Optimum Nutrition 5lb,727298,786045,58747,8.1,Normal
1076,iPad Pro 12.9 inch M2,18718661,21010853,2292192,12.2,Normal
1077,Earphone TWS Sony WF-1000XM5,3334651,3916650,581999,17.5,Normal
1078,iPad Pro 12.9 inch M2,18209416,21733313,3523897,19.4,Normal
1079,Madu Manuka UMF 20+ 500g,863106,1078288,215182,24.9,Normal
1080,Special Tisu Makan Premium 200 lembar,23322,357265,333943,1431.9,MARKUP GILA-GILAAN ⚠️
1081,Eyeshadow Palette Urban Decay Naked,855305,1067314,212009,24.8,Normal
1082,Limited Hand Sanitizer 100ml,28075,407616,379541,1351.9,MARKUP GILA-GILAAN ⚠️
1083,Serum Rambut Pantene 70ml,87750,97326,9576,10.9,Normal
1084,Foundation MAC Studio Fix Fluid,577028,672436,95408,16.5,Normal
1085,Parfum Mobil Areon Mon Black Crystal,118348,141433,23085,19.5,Normal
1086,Coffee Maker Nespresso Vertuo Next,2140414,2402642,262228,12.3,Normal
1087,Topi Snapback New Era,506473,629897,123424,24.4,Normal
1088,Foundation MAC Studio Fix Fluid,562533,689555,127022,22.6,Normal
1089,Sepatu Running Brooks Ghost 15,1985057,2085210,100153,5.0,Normal
1090,Krim Malam La Mer Moisturizing 60ml,4474829,4729102,254273,5.7,Normal
1091,Anggur Red Wine Bordeaux,622937,707676,84739,13.6,Normal
1092,Gold Edition Buku Tulis A5 biasa,75066,684719,609653,812.2,MARKUP GILA-GILAAN ⚠️
1093,Laptop Lenovo ThinkPad X1 Carbon,27132185,33866193,6734008,24.8,Normal
1094,Alarm Mobil Clifford 350X,1813912,1929995,116083,6.4,Normal
1095,Gloves Boxing Everlast Pro Style,496093,590440,94347,19.0,Normal
1096,Car Audio Pioneer MVH-S215BT,877526,942739,65213,7.4,Normal
1097,SSD Samsung 980 Pro 2TB,2809317,3346974,537657,19.1,Normal
1098,Cover Mobil All New Silver,486319,586186,99867,20.5,Normal
1099,Hoodie Supreme Box Logo,7612741,8311400,698659,9.2,Normal
1100,Buku The Psychology of Money,90787,100848,10061,11.1,Normal
1101,Buku The Psychology of Money,89235,98643,9408,10.5,Normal
1102,Buku Matematika Kumon Grade 7,62398,68189,5791,9.3,Normal
1103,Mesin Espresso De'Longhi La Specialista,12459923,13447114,987191,7.9,Normal
1104,Artisan Air Mineral Premium 500ml,44522,210843,166321,373.6,MARKUP GILA-GILAAN ⚠️
1105,Samsung 65 inch QLED TV,15779946,17713936,1933990,12.3,Normal
1106,PlayStation 5 Digital Edition,8253610,9098373,844763,10.2,Normal
1107,Apple Watch Series 9,7503353,8702016,1198663,16.0,Normal
1108,Kamus Bahasa Inggris Oxford Advanced,241416,278554,37138,15.4,Normal
1109,Raket Badminton Yonex Astrox 99,3315665,3838741,523076,15.8,Normal
1110,Minyak Zaitun Extra Virgin 1L,154294,183324,29030,18.8,Normal
1111,Limited Selotip bening 1 roll,69401,381025,311624,449.0,MARKUP GILA-GILAAN ⚠️
1112,Granola Organic Uncle Tobys 500g,95607,111813,16206,17.0,Normal
1113,Kondisioner Moroccanoil 250ml,324292,372985,48693,15.0,Normal
1114,Cokelat Valrhona 70% 1kg,436829,463212,26383,6.0,Normal
1115,Gold Edition Selotip bening 1 roll,3853,26218,22365,580.5,MARKUP GILA-GILAAN ⚠️
1116,Keju Parmigiano Reggiano 500g,382017,468576,86559,22.7,Normal
1117,Baju Renang Speedo Fastskin,867853,1072712,204859,23.6,Normal
1118,Ultra Obat Paracetamol 500mg strip,78909,571084,492175,623.7,MARKUP GILA-GILAAN ⚠️
1119,Car Audio Pioneer MVH-S215BT,870942,998969,128027,14.7,Normal
1120,MacBook Pro M3 14 inch,29883276,35464758,5581482,18.7,Normal
1121,DJI Mini 4 Pro Drone,10774577,12281483,1506906,14.0,Normal
1122,Dashcam Viofo A129 Pro Duo,2232969,2531332,298363,13.4,Normal
1123,Hoodie Supreme Box Logo,8043530,9250269,1206739,15.0,Normal
1124,Kulkas Samsung Side by Side 700L,18202391,21411216,3208825,17.6,Normal
1125,Sepeda Statis Peloton Bike+,24296826,30343706,6046880,24.9,Normal
1126,Laptop Lenovo ThinkPad X1 Carbon,28954504,30665842,1711338,5.9,Normal
1127,Blender Vitamix 5200,5991081,7396739,1405658,23.5,Normal
1128,Topi Snapback New Era,498082,559893,61811,12.4,Normal
1129,Buku Matematika Kumon Grade 7,66188,80276,14088,21.3,Normal
1130,Air Fryer Philips 7L HD9270,1572732,1910706,337974,21.5,Normal
1131,Cover Mobil All New Silver,488101,527040,38939,8.0,Normal
1132,Deodorant Dove Original 150ml,44046,47415,3369,7.6,Normal
1133,Exclusive Garam Himalaya 500g,51222,274926,223704,436.7,MARKUP GILA-GILAAN ⚠️
1134,Anggur Red Wine Bordeaux,641015,719640,78625,12.3,Normal
1135,Canon EOS R6 Mark II,36665674,42739830,6074156,16.6,Normal
1136,Barbel Set 20kg Body Gym,820763,975202,154439,18.8,Normal
1137,VIP Kapas Kecantikan biasa 100pcs,37764,368167,330403,874.9,MARKUP GILA-GILAAN ⚠️
1138,Exclusive Pulpen Pilot G2 0.5mm,50687,340456,289769,571.7,MARKUP GILA-GILAAN ⚠️
1139,Special Sabun Cuci Piring biasa 800ml,33797,477695,443898,1313.4,MARKUP GILA-GILAAN ⚠️
1140,GPU NVIDIA RTX 4080,17754044,21159140,3405096,19.2,Normal
1141,Jaket North Face Nuptse,4530610,5074807,544197,12.0,Normal
1142,Processor Intel Core i9-14900K,9662780,10581782,919002,9.5,Normal
1143,Tas Gucci Marmont,27015385,29657984,2642599,9.8,Normal
1144,Jaket North Face Nuptse,4681072,5212518,531446,11.4,Normal
1145,Monitor LG UltraWide 34 inch,8384654,8947425,562771,6.7,Normal
1146,iPhone 15 Pro Max 256GB,22048430,26387834,4339404,19.7,Normal
1147,Buku Atomic Habits James Clear,93601,110595,16994,18.2,Normal
1148,Monitor LG UltraWide 34 inch,7830985,8804028,973043,12.4,Normal
1149,Artisan Beras Putih Premium 1kg,19803,246024,226221,1142.4,MARKUP GILA-GILAAN ⚠️
1150,VIP Beras Putih Premium 1kg,32178,229582,197404,613.5,MARKUP GILA-GILAAN ⚠️
1151,Xiaomi 14 Pro,12002468,14219039,2216571,18.5,Normal
1152,Mixer KitchenAid Artisan 4.8L,9865096,11435056,1569960,15.9,Normal
1153,Microwave Sharp 27L,1228000,1532490,304490,24.8,Normal
1154,Parfum Chanel No. 5 100ml,3425272,3601934,176662,5.2,Normal
1155,Luxury Cotton Bud biasa 200pcs,21078,290545,269467,1278.4,MARKUP GILA-GILAAN ⚠️
1156,Limited Tisu Makan Premium 200 lembar,44183,438687,394504,892.9,MARKUP GILA-GILAAN ⚠️
1157,Granola Organic Uncle Tobys 500g,95345,114833,19488,20.4,Normal
1158,Mascara Maybelline Volum Express,150051,160361,10310,6.9,Normal
1159,VIP Garam Himalaya 500g,8136,89608,81472,1001.4,MARKUP GILA-GILAAN ⚠️
1160,Deodorant Dove Original 150ml,43393,50982,7589,17.5,Normal
1161,Truffle Hitam 50g,1140853,1285623,144770,12.7,Normal
1162,Kulkas Samsung Side by Side 700L,18406804,22877718,4470914,24.3,Normal
1163,Granola Organic Uncle Tobys 500g,97588,105247,7659,7.8,Normal
1164,Tas Gucci Marmont,29112147,33874220,4762073,16.4,Normal
1165,Foundation MAC Studio Fix Fluid,562703,603559,40856,7.3,Normal
1166,Sepatu Adidas Ultraboost 23,2104293,2577389,473096,22.5,Normal
1167,Helm Sepeda Giro Aether MIPS,4603958,4854010,250052,5.4,Normal
1168,Buku Sapiens Yuval Noah Harari,112538,133900,21362,19.0,Normal
1169,Minyak Zaitun Extra Virgin 1L,154965,193009,38044,24.6,Normal
1170,Blender Vitamix 5200,5908338,6644222,735884,12.5,Normal
1171,Pelembab Cetaphil 250ml,138587,146339,7752,5.6,Normal
1172,Samsung Galaxy Watch 6,4510310,5580228,1069918,23.7,Normal
1173,Barbel Set 20kg Body Gym,765507,923273,157766,20.6,Normal
1174,Madu Manuka UMF 20+ 500g,890036,956021,65985,7.4,Normal
1175,Saus Truffle Urbani 180g,360088,410823,50735,14.1,Normal
1176,Gold Edition Tisu Makan Premium 200 lembar,25412,259525,234113,921.3,MARKUP GILA-GILAAN ⚠️
1177,Pelembab Cetaphil 250ml,141076,150080,9004,6.4,Normal
1178,Artisan Obat Paracetamol 500mg strip,20979,268702,247723,1180.8,MARKUP GILA-GILAAN ⚠️
1179,Xiaomi 14 Pro,11918359,12647696,729337,6.1,Normal
1180,Luxury Beras Putih Premium 1kg,14492,195551,181059,1249.4,MARKUP GILA-GILAAN ⚠️
1181,Exclusive Beras Putih Premium 1kg,7400,66638,59238,800.5,MARKUP GILA-GILAAN ⚠️
1182,AC Daikin Inverter 1.5 PK,5639125,6347004,707879,12.6,Normal
1183,Coffee Maker Nespresso Vertuo Next,2284110,2838630,554520,24.3,Normal
1184,Sepeda Statis Peloton Bike+,24437123,28474533,4037410,16.5,Normal
1185,Cover Mobil All New Silver,492879,543081,50202,10.2,Normal
1186,Exclusive Masker medis 3 ply 50pcs,68538,1078753,1010215,1473.9,MARKUP GILA-GILAAN ⚠️
1187,Suplemen Vitamin C 1000mg 100 Tab,123907,135900,11993,9.7,Normal
1188,Buku Matematika Kumon Grade 7,67807,80888,13081,19.3,Normal
1189,Gold Edition Masker medis 3 ply 50pcs,77266,820276,743010,961.6,MARKUP GILA-GILAAN ⚠️
1190,Pelembab Cetaphil 250ml,143803,159480,15677,10.9,Normal
1191,Limited Hand Sanitizer 100ml,63503,871731,808228,1272.7,MARKUP GILA-GILAAN ⚠️
1192,Suplemen Vitamin C 1000mg 100 Tab,124598,145136,20538,16.5,Normal
1193,Monitor LG UltraWide 34 inch,7859272,8643928,784656,10.0,Normal
1194,Gloves Boxing Everlast Pro Style,517320,548305,30985,6.0,Normal
1195,Topi Snapback New Era,513095,607425,94330,18.4,Normal
1196,Sepatu Nike Air Jordan 1 High,2382611,2903273,520662,21.9,Normal
1197,GPU NVIDIA RTX 4080,18412728,19915800,1503072,8.2,Normal
1198,Jam Tangan Casio G-Shock GA700,1196183,1395007,198824,16.6,Normal
1199,Nintendo Switch OLED,4353776,5265410,911634,20.9,Normal
1200,Sunscreen Anessa Perfect UV 60ml,289785,330160,40375,13.9,Normal
1201,Sepatu Formal Clarks Desert Boot,1788547,1939393,150846,8.4,Normal
1202,MacBook Pro M3 14 inch,29024925,35116378,6091453,21.0,Normal
1203,Special Hand Sanitizer 100ml,4575,53165,48590,1062.1,MARKUP GILA-GILAAN ⚠️
1204,Dashcam Viofo A129 Pro Duo,2261634,2796165,534531,23.6,Normal
1205,Parfum Chanel No. 5 100ml,3448983,3908052,459069,13.3,Normal
1206,Samsung Galaxy S24 Ultra,17241199,18915163,1673964,9.7,Normal
1207,OPPO Find X7 Ultra,14567999,17497772,2929773,20.1,Normal
1208,Dashcam Viofo A129 Pro Duo,2207770,2664771,457001,20.7,Normal
1209,Wagyu A5 Beef 300g,721960,865155,143195,19.8,Normal
1210,Samsung Galaxy S24 Ultra,18157996,21649254,3491258,19.2,Normal
1211,Buku Zero to One Peter Thiel,88391,105299,16908,19.1,Normal
1212,Router WiFi 6 ASUS AX6000,3557058,4396388,839330,23.6,Normal
1213,Matras Yoga Manduka PRO 6mm,1711910,1813335,101425,5.9,Normal
1214,Luxury Kapas Kecantikan biasa 100pcs,36274,400310,364036,1003.6,MARKUP GILA-GILAAN ⚠️
1215,iPhone 15 Pro Max 256GB,21465619,25340936,3875317,18.1,Normal
1216,Krim Malam La Mer Moisturizing 60ml,4402979,5222775,819796,18.6,Normal
1217,Novel Harry Potter Complete Set,824109,899930,75821,9.2,Normal
1218,Alarm Mobil Clifford 350X,1802965,2147042,344077,19.1,Normal
1219,Buku Zero to One Peter Thiel,86300,101706,15406,17.9,Normal
1220,Keju Parmigiano Reggiano 500g,378158,401707,23549,6.2,Normal
1221,Tas Gucci Marmont,27650768,32625683,4974915,18.0,Normal
1222,Rice Cooker Zojirushi 1.8L,2864487,3285967,421480,14.7,Normal
1223,Buku Atomic Habits James Clear,99672,120078,20406,20.5,Normal
1224,Dashcam Viofo A129 Pro Duo,2222720,2724885,502165,22.6,Normal
1225,Kompor Tanam Rinnai 4 Tungku,3417109,3775636,358527,10.5,Normal
1226,Buku Sapiens Yuval Noah Harari,112887,127712,14825,13.1,Normal
1227,Artisan Garam Himalaya 500g,29886,448722,418836,1401.4,MARKUP GILA-GILAAN ⚠️
1228,Baju Renang Speedo Fastskin,886998,958490,71492,8.1,Normal
1229,Mesin Cuci Samsung Front Load 9kg,5405547,6284044,878497,16.3,Normal
1230,Sepatu Formal Clarks Desert Boot,1774744,1892408,117664,6.6,Normal
1231,VIP Beras Putih Premium 1kg,67577,348355,280778,415.5,MARKUP GILA-GILAAN ⚠️
1232,Kopi Luwak Premium 200g,365086,451929,86843,23.8,Normal
1233,Samsung 65 inch QLED TV,16281968,18356503,2074535,12.7,Normal
1234,Pasta Barilla Linguine 500g,46794,51324,4530,9.7,Normal
1235,Foundation MAC Studio Fix Fluid,579681,618178,38497,6.6,Normal
1236,AC Daikin Inverter 1.5 PK,5753057,6247947,494890,8.6,Normal
1237,SSD Samsung 980 Pro 2TB,2854676,3255058,400382,14.0,Normal
1238,Deodorant Dove Original 150ml,45434,56042,10608,23.3,Normal
1239,Lipstik Charlotte Tilbury Pillowtalk,438575,467656,29081,6.6,Normal
1240,Special Keripik Kentang Lays Original 75g,58367,378398,320031,548.3,MARKUP GILA-GILAAN ⚠️
1241,Foundation MAC Studio Fix Fluid,594098,656681,62583,10.5,Normal
1242,Lipstik Charlotte Tilbury Pillowtalk,457315,495452,38137,8.3,Normal
1243,Tas Gucci Marmont,28575096,30783522,2208426,7.7,Normal
1244,Teh Darjeeling FTGFOP1 100g,289580,330123,40543,14.0,Normal
1245,Portable Charger Anker 26800mAh,573906,645874,71968,12.5,Normal
1246,Sabun Muka CeraVe Hydrating Cleanser,189489,233240,43751,23.1,Normal
1247,Krim Malam La Mer Moisturizing 60ml,4332208,5222707,890499,20.6,Normal
1248,Exclusive Kapas Kecantikan biasa 100pcs,22402,242478,220076,982.4,MARKUP GILA-GILAAN ⚠️
1249,Buku Masak Gordon Ramsay Ultimate Cookery,455378,545485,90107,19.8,Normal
1250,Buku Sapiens Yuval Noah Harari,120369,132791,12422,10.3,Normal
1251,Xbox Series X,8083529,9577555,1494026,18.5,Normal
1252,Sepatu Vans Old Skool,864857,1046897,182040,21.0,Normal
1253,Sepatu Formal Clarks Desert Boot,1805087,2215309,410222,22.7,Normal
1254,Artisan Kapas Kecantikan biasa 100pcs,52741,345389,292648,554.9,MARKUP GILA-GILAAN ⚠️
1255,Buku Zero to One Peter Thiel,85640,96897,11257,13.1,Normal
1256,Buku Thinking Fast and Slow,104711,109971,5260,5.0,Normal
1257,Oli Mesin Castrol Edge 5W-40 4L,291566,331563,39997,13.7,Normal
1258,Celana Jeans Levi's 501,861626,951578,89952,10.4,Normal
1259,Special Buku Tulis A5 biasa,67154,696532,629378,937.2,MARKUP GILA-GILAAN ⚠️
1260,Tas Louis Vuitton Neverfull MM,35952806,38169539,2216733,6.2,Normal
1261,Limited Kapas Kecantikan biasa 100pcs,35223,314591,279368,793.1,MARKUP GILA-GILAAN ⚠️
1262,Monitor LG UltraWide 34 inch,7708704,8745233,1036529,13.4,Normal
1263,Sepatu Adidas Ultraboost 23,2119487,2334326,214839,10.1,Normal
1264,Selai Kacang Skippy Chunky 462g,87395,108737,21342,24.4,Normal
1265,Kamus Bahasa Inggris Oxford Advanced,240876,291752,50876,21.1,Normal
1266,Mouse Logitech MX Master 3,1470459,1746030,275571,18.7,Normal
1267,Monitor LG UltraWide 34 inch,8161778,8845275,683497,8.4,Normal
1268,RAM Corsair Vengeance 32GB DDR5,2539589,3055356,515767,20.3,Normal
1269,Madu Manuka UMF 20+ 500g,819294,873374,54080,6.6,Normal
1270,Blush On NARS Orgasm,463903,518906,55003,11.9,Normal
1271,Kondisioner Moroccanoil 250ml,335197,380963,45766,13.7,Normal
1272,Caviar Beluga 30g,2771638,3060098,288460,10.4,Normal
1273,DJI Mini 4 Pro Drone,10537886,11160930,623044,5.9,Normal
1274,Air Fryer Philips 7L HD9270,1490820,1601559,110739,7.4,Normal
1275,RAM Corsair Vengeance 32GB DDR5,2467691,2950262,482571,19.6,Normal
1276,SSD Samsung 980 Pro 2TB,2777960,3287842,509882,18.4,Normal
1277,Jaket North Face Nuptse,4432335,4708255,275920,6.2,Normal
1278,Pasta Barilla Linguine 500g,43257,51289,8032,18.6,Normal
1279,Suplemen Vitamin C 1000mg 100 Tab,119031,138980,19949,16.8,Normal
1280,Limited Masker medis 3 ply 50pcs,61115,844446,783331,1281.7,MARKUP GILA-GILAAN ⚠️
1281,Router WiFi 6 ASUS AX6000,3451111,3925893,474782,13.8,Normal
1282,Limited Pulpen Pilot G2 0.5mm,62944,353988,291044,462.4,MARKUP GILA-GILAAN ⚠️
1283,Mascara Maybelline Volum Express,157284,174878,17594,11.2,Normal
1284,DJI Mini 4 Pro Drone,10559255,12080084,1520829,14.4,Normal
1285,GPU NVIDIA RTX 4080,18057826,20284032,2226206,12.3,Normal
1286,Ultra Beras Putih Premium 1kg,39344,280409,241065,612.7,MARKUP GILA-GILAAN ⚠️
1287,AC Daikin Inverter 1.5 PK,5333296,6015316,682020,12.8,Normal
1288,GPU NVIDIA RTX 4080,17629120,19723374,2094254,11.9,Normal
1289,Buku The Psychology of Money,93443,103891,10448,11.2,Normal
1290,Baju Batik Danar Hadi Premium,772924,884071,111147,14.4,Normal
1291,Gloves Boxing Everlast Pro Style,478755,594210,115455,24.1,Normal
1292,Luxury Kantong Plastik 'Eco' 1 pack,74863,896368,821505,1097.3,MARKUP GILA-GILAAN ⚠️
1293,Topi Snapback New Era,516674,564385,47711,9.2,Normal
1294,Canon EOS R6 Mark II,36666301,41407342,4741041,12.9,Normal
1295,iPhone 15 Pro Max 256GB,21973354,25832062,3858708,17.6,Normal
1296,Syal Burberry Classic Check,4898194,5203551,305357,6.2,Normal
1297,Baju Renang Speedo Fastskin,842058,1049597,207539,24.6,Normal
1298,Kulkas Samsung Side by Side 700L,18168188,20248697,2080509,11.5,Normal
1299,VIP Keripik Kentang Lays Original 75g,67988,889738,821750,1208.7,MARKUP GILA-GILAAN ⚠️
1300,Body Lotion Bath & Body Works,360983,380459,19476,5.4,Normal
1301,Protein Bar Quest Nutrition Box 12,332653,362497,29844,9.0,Normal
1302,Gloves Boxing Everlast Pro Style,487526,524370,36844,7.6,Normal
1303,Laptop Lenovo ThinkPad X1 Carbon,28987749,34782204,5794455,20.0,Normal
1304,Processor Intel Core i9-14900K,9705557,10696567,991010,10.2,Normal
1305,Exclusive Obat Paracetamol 500mg strip,38075,559419,521344,1369.3,MARKUP GILA-GILAAN ⚠️
1306,Canon EOS R6 Mark II,37988012,44248828,6260816,16.5,Normal
1307,Protein Whey Optimum Nutrition 5lb,722026,759826,37800,5.2,Normal
1308,Topi Snapback New Era,486271,582933,96662,19.9,Normal
1309,Mixer KitchenAid Artisan 4.8L,9389219,9866943,477724,5.1,Normal
1310,Sunscreen Anessa Perfect UV 60ml,267481,313986,46505,17.4,Normal
1311,AC Daikin Inverter 1.5 PK,5692214,6725474,1033260,18.2,Normal
1312,Kemeja Polo Ralph Lauren,1563933,1810771,246838,15.8,Normal
1313,Ikat Pinggang Hermes,11674720,12279626,604906,5.2,Normal
1314,Artisan Tisu Makan Premium 200 lembar,21756,171341,149585,687.6,MARKUP GILA-GILAAN ⚠️
1315,Sunscreen Anessa Perfect UV 60ml,276402,344493,68091,24.6,Normal
1316,GoPro Hero 12 Black,6192005,6924704,732699,11.8,Normal
1317,Body Lotion Bath & Body Works,359966,380263,20297,5.6,Normal
1318,Treadmill NordicTrack Commercial 2950,29135366,35222863,6087497,20.9,Normal
1319,Limited Keripik Kentang Lays Original 75g,27212,310143,282931,1039.7,MARKUP GILA-GILAAN ⚠️
1320,Artisan Air Kelapa kemasan 330ml,38182,349084,310902,814.3,MARKUP GILA-GILAAN ⚠️
1321,Buku Sapiens Yuval Noah Harari,111960,135088,23128,20.7,Normal
1322,Champagne Moet & Chandon 750ml,971076,1205143,234067,24.1,Normal
1323,Buku Matematika Kumon Grade 7,64269,71246,6977,10.9,Normal
1324,Kaos Uniqlo UT Collab,247656,297257,49601,20.0,Normal
1325,Foundation MAC Studio Fix Fluid,581451,686756,105305,18.1,Normal
1326,Artisan Hand Sanitizer 100ml,21575,228140,206565,957.4,MARKUP GILA-GILAAN ⚠️
1327,Premium Kapas Kecantikan biasa 100pcs,38653,241010,202357,523.5,MARKUP GILA-GILAAN ⚠️
1328,Special Obat Paracetamol 500mg strip,53870,479126,425256,789.4,MARKUP GILA-GILAAN ⚠️
1329,Ban Bridgestone Ecopia 195/65 R15,936353,989019,52666,5.6,Normal
1330,Earphone TWS Sony WF-1000XM5,3451255,3966319,515064,14.9,Normal
1331,Matras Yoga Manduka PRO 6mm,1733856,1837102,103246,6.0,Normal
1332,Oli Mesin Castrol Edge 5W-40 4L,280585,327808,47223,16.8,Normal
1333,Processor Intel Core i9-14900K,9360166,10977113,1616947,17.3,Normal
1334,Eyeshadow Palette Urban Decay Naked,877072,1017101,140029,16.0,Normal
1335,Cover Mobil All New Silver,506482,628606,122124,24.1,Normal
1336,Toaster Oven Breville BOV900BSS,5247402,6139676,892274,17.0,Normal
1337,Baju Renang Speedo Fastskin,874149,941516,67367,7.7,Normal
1338,Blender Vitamix 5200,5799222,6581408,782186,13.5,Normal
1339,Wagyu A5 Beef 300g,740940,825523,84583,11.4,Normal
1340,PlayStation 5 Digital Edition,8874170,10561764,1687594,19.0,Normal
1341,Helm Sepeda Giro Aether MIPS,4282981,4963069,680088,15.9,Normal
1342,Toaster Oven Breville BOV900BSS,5298573,5643976,345403,6.5,Normal
1343,Kulkas Samsung Side by Side 700L,17488449,20742285,3253836,18.6,Normal
1344,Protein Bar Quest Nutrition Box 12,341208,382091,40883,12.0,Normal
1345,Raket Badminton Yonex Astrox 99,3294914,3700531,405617,12.3,Normal
1346,Xiaomi 14 Pro,11670455,13319948,1649493,14.1,Normal
1347,Krim Malam La Mer Moisturizing 60ml,4591149,4918018,326869,7.1,Normal
1348,Celana Jeans Levi's 501,893280,1049928,156648,17.5,Normal
1349,Topi Snapback New Era,488603,516564,27961,5.7,Normal
1350,Celana Jeans Levi's 501,936281,1096415,160134,17.1,Normal
1351,Blender Vitamix 5200,6246052,7310648,1064596,17.0,Normal
